Series Name,Series Code,Country Name,Country Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,India,IND,4.82576184342215,4.59211893735861,4.54562752332988,4.30224760652525,4.16420441138194,3.96728118920971,4.09147664158076,3.90555067072309,3.83503968275347,3.81292025697517,3.81185657282345,3.74489180043947,3.74492100127032,3.78810410805172,3.7252629496661,3.55331583011222,3.62257613036012,3.35430671568569,3.16142620301247,3.02888279891311,2.99378385759947,2.92666092999238,2.91115545352632,2.93627889313173,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Ukraine,UKR,8.43286018052472,8.61717304453381,9.0385067494865,10.0259149452931,8.95437691809252,8.48848939517013,7.37802656324424,6.45881778907633,6.34865363471366,5.71329025319592,5.35354492651592,4.8840172367434,4.35172635644192,..,5.14466887046868,..,6.30148689951329,..,..,6.16025303748787,4.50424571843827,4.11661376082874,3.86703005362156,3.84320089520623,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,4.0715263102304,3.4870927196315,4.20866830452584,6.39391257509462,..,..,9.97526212023234,6.69241862002357,6.80069468647332,6.74357283538399,7.18039716624779,6.59443908400367,4.02249785795131,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Albania,ALB,20.4196832752429,16.5821972034685,4.11688108231861,6.97612769104126,6.91520644292345,5.36697326309711,4.27737992521115,5.07809382866511,3.16309553181125,3.52812681499024,3.15073844161766,2.90048784499383,4.08457542468858,4.89544771627364,5.42840674878889,4.2950952090984,4.64616022595595,2.22030990322398,2.74204347492575,2.01434001712189,2.29404594278858,2.26174791010144,2.12777201167065,2.31196864129807,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Algeria,DZA,..,..,..,..,..,..,..,..,0.933151633955241,0.797438134359645,0.94881074889184,0.787020436235768,0.708382325710373,0.766209262996582,1.40362883678957,1.26313706959542,1.48864165770181,1.38076996361026,1.34360193923407,1.27380650772187,1.35473538571451,1.21530387918325,1.50512065521262,1.57318234314011,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,American Samoa,ASM,..,..,..,1.71456004389274,12.0322464204067,5.1777254252207,6.94137144146255,10.4796171446536,7.03760721354739,1.773599964528,5.36763850743865,3.61232525376585,9.11585338061423,9.20640765973117,3.72498440162782,5.66091140673648,5.74531039039384,7.78694907335306,0,14.1519923983584,26.8461919709235,0,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Andorra,AND,..,..,..,..,..,..,1.29982387386509,..,..,0,1.31483794622313,0,0,1.41708293477876,0,0,0,0,..,..,..,..,2.57400257400257,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,4.34888145017182,4.83160976473495,..,..,4.4582353472576,4.10224812286562,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Antigua and Barbuda,ATG,..,..,6.66178136033575,9.18454372498852,6.47710343934193,6.40413963586062,5.0670754107498,3.75615069676595,13.5977897410857,20.7277892593473,19.2189883605002,18.9274074775089,7.00157535445475,..,11.4058900015968,..,..,..,..,21.9493190223773,13.0967907405689,3.25674553418769,9.71250971250971,17.1637908377539,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Argentina,ARG,..,..,..,8.34834280792868,9.42324762172539,7.75115556419001,6.04621868694569,5.62572777894156,5.34743773442615,5.36411380031375,5.88720663318102,6.49389936621435,5.80046925893628,6.04758007684834,6.3119206747939,7.24728815890076,7.53781983762934,6.55846615392808,6.01123358722838,5.25938076500315,5.36772568472051,5.15582342098159,5.36681384363525,4.62267855620475,..
